component_id,component_type,error_name,created
GR003294,ground,auto_reset_agent,1682873638.528548
GR003199,ground,missing_sticker,1682874783.244732
GR003165,ground,turn_timeout,1682875700.064359
GR003165,ground,auto_reset_agent,1682875700.892461
GR003275,ground,periodic_goto_timeout,1682875812.107683
GR003275,ground,auto_reset_agent,1682875812.213631
GR003275,ground,read_data_matrix_timeout,1682875879.636918
LR00002265,lift,conveyor_not_success_to_pull_the_tote_while_loading,1682876715.219974
GR003215,ground,missing_sticker,1682877391.061155
GR003295,ground,missing_sticker,1682877686.745269
LR00002265,lift,auto_reset_agent,1682877962.447591
GR003068,ground,auto_reset_agent,1682878104.473979
GR003068,ground,reset_agent_by_user,1682878497.866231
GR003168,ground,offline,1682878549.675304
GR003068,ground,safety_entered,1682878585.716205
GR003068,ground,robot_restarted,1682878586.936529
GR003068,ground,auto_reset_agent,1682878587.328077
GR003239,ground,safety_entered,1682878592.436439
GR003239,ground,robot_restarted,1682878594.170563
GR003239,ground,auto_reset_agent,1682878594.375778
GR003068,ground,goto_finished_off_sticker,1682878612.035018
GR003068,ground,corners_cv_started,1682878612.308779
GR003068,ground,goto_started_off_sticker,1682878612.559992
GR003068,ground,missing_sticker,1682878613.716666
GR003068,ground,missing_sticker,1682878614.569901
GR003068,ground,missing_stickers,1682878624.222082
GR003068,ground,signup_no_sticker,1682878624.29747
GR003068,ground,safety_entered,1682878634.446954
GR003068,ground,ground_not_responding,1682878706.287879
GR003068,ground,read_data_matrix_timeout,1682878713.961436
GR003068,ground,robot_location_unknown,1682878734.162306
GR003068,ground,auto_reset_agent,1682878734.182916
GR003165,ground,turn_timeout,1682879904.694919
GR003165,ground,auto_reset_agent,1682879904.758791
GR003165,ground,robot_version_timeout,1682879945.523838
GR003165,ground,robot_version_timeout,1682879955.52321
GR003165,ground,robot_version_timeout,1682879965.522918
GR003165,ground,auto_reset_agent,1682879965.556726
GR003165,ground,offline,1682880221.51055
GR003165,ground,turn_timeout,1682882921.253777
GR003165,ground,auto_reset_agent,1682882921.353842
GR003200,ground,missing_sticker,1682882934.994967
GR003227,ground,turn_timeout,1682883351.823405
GR003227,ground,auto_reset_agent,1682883353.966242
GR003297,ground,missing_sticker,1682884194.057947
GR003297,ground,missing_sticker,1682884204.742869
GR003212,ground,missing_sticker,1682885631.796101
GR003159,ground,auto_reset_agent,1682886059.999839
GR003165,ground,periodic_goto_timeout,1682886714.841579
GR003165,ground,auto_reset_agent,1682886714.866886
GR003264,ground,missing_sticker,1682887265.222639
GR003283,ground,missing_sticker,1682887559.342621
GR003277,ground,missing_sticker,1682888542.62871
GR003275,ground,missing_sticker,1682888727.219096
GR003294,ground,periodic_goto_timeout,1682889719.576598
GR003294,ground,auto_reset_agent,1682889719.601519
GR003295,ground,missing_sticker,1682890272.425183
GR003275,ground,missing_sticker,1682891026.862197
GR003298,ground,missing_sticker,1682891227.51961
GR003264,ground,missing_sticker,1682894220.609592
LR00002100,lift,fine_positioning_tote_centering_after_hs_error,1682895899.882761
LR00002100,lift,auto_reset_agent,1682895949.647049
LR00002100,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682895968.06524
LR00002100,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682896169.678316
LR00002100,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682896409.961336
GR003162,ground,robot_off_track,1682896581.37276
GR003162,ground,auto_reset_agent,1682896581.396194
GR003162,ground,signup_no_sticker,1682896599.590692
LR00002100,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682896665.317902
GR003165,ground,periodic_goto_timeout,1682896741.606185
GR003165,ground,auto_reset_agent,1682896741.908628
GR003162,ground,signup_no_sticker,1682896840.651088
LR00002100,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682896905.603745
GR003162,ground,signup_no_sticker,1682897080.019324
LR00002100,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682897145.909433
GR003162,ground,signup_no_sticker,1682897320.832942
LR00002100,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682897386.172461
GR003162,ground,signup_no_sticker,1682897560.259351
LR00002100,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682897626.501005
GR003162,ground,signup_no_sticker,1682897801.670917
LR00002100,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682897866.888407
GR003294,ground,turn_timeout,1682897936.942622
GR003294,ground,auto_reset_agent,1682897936.986295
LR00002100,lift,auto_reset_agent,1682898017.008656
GR003162,ground,signup_no_sticker,1682898042.811547
GR003162,ground,signup_no_sticker,1682898282.125084
GR003090,ground,robot_off_track,1682898485.3268
GR003090,ground,auto_reset_agent,1682898485.458632
GR003090,ground,following_y_error_during_movement,1682898507.207911
GR003090,ground,signup_no_sticker,1682898507.294532
GR003162,ground,signup_no_sticker,1682898523.059561
LR00002112,lift,actuator_can_not_lock,1682898585.749583
GR003090,ground,signup_no_sticker,1682898706.195327
GR003162,ground,signup_no_sticker,1682898762.284364
LR00002112,lift,auto_reset_agent,1682898772.271372
GR003090,ground,signup_no_sticker,1682898945.357094
GR003162,ground,signup_no_sticker,1682899003.481695
GR003090,ground,signup_no_sticker,1682899186.521268
GR003162,ground,signup_no_sticker,1682899242.704996
GR003090,ground,signup_no_sticker,1682899427.697658
GR003162,ground,signup_no_sticker,1682899483.699311
GR003294,ground,periodic_goto_timeout,1682899641.829045
GR003294,ground,auto_reset_agent,1682899641.885328
GR003090,ground,signup_no_sticker,1682899666.677701
GR003162,ground,signup_no_sticker,1682899724.957025
LR00002111,lift,fine_positioning_tote_centering_after_hs_error,1682899840.669233
LR00002111,lift,auto_reset_agent,1682899850.734018
LR00002111,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682899871.976168
GR003090,ground,signup_no_sticker,1682899908.006846
GR003162,ground,signup_no_sticker,1682899964.263613
LR00002111,lift,fine_position_not_success_while_loading_not_all_4_sensors_are_on,1682900086.619459
GR003090,ground,signup_no_sticker,1682900149.023512
GR003162,ground,reset_agent_by_user,1682900212.236142
GR003162,ground,robot_off_track,1682900237.775657
GR003162,ground,auto_reset_agent,1682900238.36914
GR003162,ground,signup_no_sticker,1682900243.997092
LR00002111,lift,auto_reset_agent,1682900265.204847
GR003162,ground,signup_no_sticker,1682900469.031392
GR003090,ground,robot_restarted,1682900543.854773
GR003090,ground,auto_reset_agent,1682900543.893702
GR003090,ground,signup_no_sticker,1682900562.069248
GR003162,ground,signup_no_sticker,1682900710.113524
GR003090,ground,signup_no_sticker,1682900744.922984
GR003162,ground,signup_no_sticker,1682900951.37456
GR003090,ground,signup_no_sticker,1682900986.087475
GR003162,ground,signup_no_sticker,1682901190.593967
GR003090,ground,signup_no_sticker,1682901225.370709
GR003162,ground,signup_no_sticker,1682901431.828575
GR003090,ground,signup_no_sticker,1682901466.663708
GR003162,ground,signup_no_sticker,1682901671.116616
GR003090,ground,signup_no_sticker,1682901705.857036
GR003162,ground,signup_no_sticker,1682901912.371732
GR003090,ground,signup_no_sticker,1682901947.119844
GR003162,ground,signup_no_sticker,1682902153.660552
GR003090,ground,signup_no_sticker,1682902188.258103
GR003162,ground,signup_no_sticker,1682902392.90971
GR003090,ground,signup_no_sticker,1682902427.420572
GR003162,ground,signup_no_sticker,1682902634.172045
GR003090,ground,signup_no_sticker,1682902668.722894
GR003162,ground,signup_no_sticker,1682902873.484525
GR003090,ground,signup_no_sticker,1682902909.280947
GR003162,ground,signup_no_sticker,1682903114.567725
GR003090,ground,signup_no_sticker,1682903148.508733
GR003162,ground,signup_no_sticker,1682903355.887414
GR003090,ground,signup_no_sticker,1682903389.770285
GR003227,ground,periodic_goto_timeout,1682903391.026997
GR003227,ground,auto_reset_agent,1682903391.045855
GR003162,ground,signup_no_sticker,1682903595.085046
GR003090,ground,signup_no_sticker,1682903630.942012
GR003162,ground,signup_no_sticker,1682903836.319982
GR003090,ground,signup_no_sticker,1682903870.071172
GR003162,ground,goto_finished_off_sticker,1682903962.931784
GR003162,ground,corners_cv_started,1682903962.955269
GR003162,ground,goto_finished_off_sticker,1682903965.127936
GR003162,ground,corners_cv_started,1682903965.156033
GR003090,ground,robot_restarted,1682904035.205709
GR003090,ground,auto_reset_agent,1682904035.443792
GR003090,ground,signup_no_sticker,1682904053.388702
GR003162,ground,robot_restarted,1682904083.781866
GR003162,ground,reset_agent_by_user,1682904084.226139
GR003090,ground,robot_restarted,1682904202.919224
GR003090,ground,auto_reset_agent,1682904204.031593
GR003090,ground,signup_no_sticker,1682904225.340177
GR003090,ground,robot_restarted,1682904483.415812
GR003090,ground,auto_reset_agent,1682904483.836158
GR003090,ground,signup_no_sticker,1682904501.665512
GR003213,ground,reset_agent_by_user,1682904677.555818
GR003090,ground,safety_entered,1682904851.299705
GR003090,ground,robot_restarted,1682904851.520354
GR003090,ground,auto_reset_agent,1682904851.549879
GR003090,ground,signup_no_sticker,1682904911.888666
GR003156,ground,turn_timeout,1682905379.383812
GR003156,ground,auto_reset_agent,1682905382.14717
GR003165,ground,turn_timeout,1682906997.021791
GR003165,ground,auto_reset_agent,1682906997.530147
GR003266,ground,missing_sticker,1682907575.385713
GR003275,ground,turn_timeout,1682908794.68016
GR003275,ground,auto_reset_agent,1682908795.115999
GR003297,ground,missing_sticker,1682914860.674349
GR003291,ground,missing_sticker,1682915208.799009
GR003165,ground,turn_timeout,1682916679.296023
GR003165,ground,auto_reset_agent,1682916679.560144
GR003294,ground,turn_timeout,1682917077.182354
GR003294,ground,auto_reset_agent,1682917077.636957
GR003227,ground,turn_timeout,1682918982.124945
GR003227,ground,auto_reset_agent,1682918984.169908
GR003294,ground,robot_restarted,1682919582.332894
GR003294,ground,auto_reset_agent,1682919583.292132
GR003298,ground,missing_sticker,1682920739.409293
GR003291,ground,missing_sticker,1682921369.88091
GR003264,ground,missing_sticker,1682922298.879931
GR003165,ground,turn_timeout,1682922860.860369
GR003165,ground,auto_reset_agent,1682922863.329988
GR003159,ground,missing_sticker,1682922975.155635
GR003227,ground,periodic_goto_timeout,1682923331.576193
GR003227,ground,auto_reset_agent,1682923331.621099
GR003227,ground,read_data_matrix_timeout,1682923390.362426
GR003221,ground,missing_sticker,1682923746.63724
GR003080,ground,missing_sticker,1682924236.660918
GR003290,ground,missing_sticker,1682924471.897923
GR003215,ground,missing_sticker,1682924614.74949
GR003282,ground,missing_sticker,1682924924.21062
GR003298,ground,missing_sticker,1682925088.545489
GR003153,ground,missing_sticker,1682925522.439615
LR00002264,lift,auto_reset_agent,1682929678.572523
GR003264,ground,missing_sticker,1682930490.295531
GR003275,ground,turn_timeout,1682932271.129302
GR003275,ground,auto_reset_agent,1682932272.297002
LR00002265,lift,conveyor_not_success_to_pull_the_tote_while_loading,1682932774.15554
GR003165,ground,periodic_goto_timeout,1682933581.404071
GR003165,ground,auto_reset_agent,1682933581.457202
GR003165,ground,read_data_matrix_timeout,1682933652.067824
LR00002265,lift,reset_agent_by_user,1682933685.833591
GR003275,ground,missing_sticker,1682935132.532909
GR003159,ground,missing_sticker,1682935494.224141
GR003230,ground,missing_sticker,1682936373.70261
GR003120,ground,missing_sticker,1682938246.239989
GR003095,ground,missing_sticker,1682938273.81633
GR003240,ground,turn_timeout,1682939447.060462
GR003240,ground,auto_reset_agent,1682939449.11104
GR003227,ground,robot_restarted,1682941020.983773
GR003227,ground,auto_reset_agent,1682941021.330163
GR003272,ground,following_x_error_during_movement,1682941134.649589
GR003272,ground,periodic_goto_timeout,1682941179.801577
GR003272,ground,auto_reset_agent,1682941179.823758
GR003272,ground,signup_no_sticker,1682941198.024719
